geonameid,name,asciiname,state,county,lat,lon,population,feature_code,timezone
5394279,Seeley,Seeley,CA,025,32.79311,-115.69111,1739,PPL,America/Los_Angeles
4227871,Union Point,Union Point,GA,133,33.61568,-83.0746,1709,PPL,America/New_York
4152395,Cross City,Cross City,FL,029,29.63465,-83.12694,1707,PPLA2,America/New_York
4064664,Gordo,Gordo,AL,107,33.32012,-87.9028,1687,PPL,America/Chicago
5312677,Salome,Salome,AZ,012,33.78114,-113.61465,1530,PPL,America/Phoenix
4108950,Dover,Dover,AR,115,35.40147,-93.11434,1398,PPL,America/Chicago
5266764,Phillips,Phillips,WI,099,45.69663,-90.40043,1388,PPLA2,America/Chicago
5052600,Wheaton,Wheaton,MN,155,45.80441,-96.49923,1362,PPLA2,America/Chicago
5685767,West Yellowstone,West Yellowstone,MT,031,44.66215,-111.10411,1339,PPL,America/Denver
4713452,Munday,Munday,TX,275,33.44926,-99.62286,1339,PPL,America/Chicago
5028500,Grand Marais,Grand Marais,MN,031,47.75045,-90.33427,1327,PPLA2,America/Chicago
5731035,Heppner,Heppner,OR,049,45.35318,-119.5578,1287,PPLA2,America/Los_Angeles
5058568,Cavalier,Cavalier,ND,067,48.79388,-97.62231,1244,PPLA2,America/Chicago
5766453,Lemmon,Lemmon,SD,105,45.94083,-102.15932,1232,PPL,America/Denver
5292715,Dilkon,Dilkon,AZ,017,35.38529,-110.32068,1184,PPL,America/Denver
12523068,Death Valley,Death Valley,CA,027,36.23962,-116.81133,1124,PPL,America/Los_Angeles
4923796,Morocco,Morocco,IN,111,40.94615,-87.45336,1119,PPL,America/Chicago
5499105,Alamo,Alamo,NV,017,37.36496,-115.16446,1080,PPL,America/Los_Angeles
4467757,Gaston,Gaston,NC,131,36.50043,-77.64498,1067,PPL,America/New_York
5007585,Roscommon,Roscommon,MI,143,44.49835,-84.59197,1061,PPLA2,America/Detroit
5766888,Martin,Martin,SD,007,43.1725,-101.73265,1061,PPLA2,America/Denver
5676740,Scobey,Scobey,MT,019,48.79252,-105.42083,1033,PPLA2,America/Denver
4813774,Marlinton,Marlinton,WV,075,38.22345,-80.09451,1029,PPLA2,America/New_York
5662396,Lincoln,Lincoln,MT,049,46.95494,-112.68171,1013,PPL,America/Denver
5476526,Logan,Logan,NM,037,35.36533,-103.41079,966,PPL,America/Denver
4846948,Anita,Anita,IA,029,41.44526,-94.7647,956,PPL,America/Chicago
5707081,Owyhee,Owyhee,NV,007,41.94768,-116.09871,953,PPL,America/Los_Angeles
5273328,Sister Bay,Sister Bay,WI,029,45.18721,-87.12095,911,PPL,America/Chicago
5746793,Prairie City,Prairie City,OR,023,44.46321,-118.70995,880,PPL,America/Los_Angeles
5812994,Taholah,Taholah,WA,027,47.3473,-124.29324,840,PPL,America/Los_Angeles
5530210,Sanderson,Sanderson,TX,443,30.14241,-102.39403,837,PPLA2,America/Chicago
5698120,Oshkosh,Oshkosh,NE,069,41.40498,-102.34436,828,PPLA2,America/Denver
5740261,Merrill,Merrill,OR,035,42.02515,-121.60055,825,PPL,America/Los_Angeles
5538942,Escalante,Escalante,UT,017,37.77027,-111.60212,790,PPL,America/Denver
4264771,Shoals,Shoals,IN,101,38.66644,-86.79111,782,PPLA2,America/Indiana/Vincennes
4968168,Jackman,Jackman,ME,025,45.62394,-70.25451,746,PPL,America/New_York
5550492,Cuba,Cuba,NM,043,36.02224,-106.95837,736,PPL,America/Denver
5325626,Baker,Baker,CA,071,35.26498,-116.07446,735,PPL,America/Los_Angeles
5421506,Fairplay,Fairplay,CO,093,39.22471,-106.00196,681,PPLA2,America/Denver
5040527,Ottertail,Ottertail,MN,111,46.42552,-95.55726,602,PPL,America/Chicago
5764313,Dupree,Dupree,SD,137,45.04748,-101.60099,527,PPLA2,America/Denver
5077686,Sargent,Sargent,NE,041,41.64056,-99.37122,509,PPL,America/Chicago
5697774,Mullen,Mullen,NE,091,42.04278,-101.04266,499,PPLA2,America/Denver
5642048,Broadus,Broadus,MT,075,45.44387,-105.41133,488,PPLA2,America/Denver
4860085,Hawkeye,Hawkeye,IA,065,42.93859,-91.95017,423,PPL,America/Chicago
5496513,Vaughn,Vaughn,NM,019,34.60173,-105.20833,413,PPL,America/Denver
5463306,Cotton City,Cotton City,NM,023,32.08842,-108.87922,388,PPL,America/Denver
4540064,Kaw City,Kaw City,OK,071,36.76031,-96.83337,375,PPL,America/Chicago
4150879,Chokoloskee,Chokoloskee,FL,021,25.81288,-81.36202,359,PPL,America/New_York
5520093,Dell City,Dell City,TX,229,31.93872,-105.20135,353,PPL,America/Denver
5763144,Buffalo,Buffalo,SD,063,45.58416,-103.54603,345,PPLA2,America/Denver
4989021,Clayton,Clayton,MI,091,41.86338,-84.23633,339,PPL,America/Detroit
5469174,Gila,Gila,NM,017,32.9659,-108.57672,314,PPL,America/Denver
5691114,Powers Lake,Powers Lake,ND,013,48.5628,-102.64796,307,PPL,America/Chicago
5658541,Hysham,Hysham,MT,103,46.29277,-107.23423,304,PPLA2,America/Denver
5832007,Medicine Bow,Medicine Bow,WY,007,41.89552,-106.20474,270,PPL,America/Denver
5663166,Lodge Pole,Lodge Pole,MT,005,48.03472,-108.5332,265,PPL,America/Denver
5520196,Dickens,Dickens,TX,125,33.62175,-100.83652,255,PPLA2,America/Chicago
5744730,Paisley,Paisley,OR,037,42.69376,-120.54608,240,PPL,America/Los_Angeles
5485633,Quemado,Quemado,NM,003,34.34394,-108.49562,228,PPL,America/Denver
5662308,Lima,Lima,MT,001,44.63686,-112.59195,222,PPL,America/Denver
5540148,Hanksville,Hanksville,UT,055,38.37304,-110.71404,212,PPL,America/Denver
4344509,Venice,Venice,LA,075,29.27717,-89.35478,202,PPL,America/Chicago
4359836,Kennedyville,Kennedyville,MD,029,39.30539,-75.99494,199,PPL,America/New_York
5312930,San Miguel,San Miguel,AZ,019,31.61286,-111.78206,197,PPL,America/Phoenix
5499537,Austin,Austin,NV,015,39.49326,-117.06953,192,PPL,America/Los_Angeles
4678872,Cantu Addition,Cantu Addition,TX,047,27.20254,-98.15528,188,PPL,America/Chicago
5706217,McDermitt,McDermitt,NV,013,41.99739,-117.7182,172,PPL,America/Los_Angeles
5819347,Boulder,Boulder,WY,035,42.74828,-109.71765,170,PPL,America/Denver
5326968,Bear Valley,Bear Valley,CA,003,38.46463,-120.03991,121,PPL,America/Los_Angeles
4585598,Lodge,Lodge,SC,029,33.06794,-80.95371,118,PPL,America/New_York
4551486,Smithville,Smithville,OK,089,34.46677,-94.64383,113,PPL,America/Chicago
4590632,Pawleys Island,Pawleys Island,SC,043,33.43322,-79.12143,107,PPL,America/New_York
5415980,Campo,Campo,CO,009,37.10502,-102.57964,105,PPL,America/Denver
5514286,Ursine,Ursine,NV,017,37.98468,-114.21526,91,PPL,America/Los_Angeles
5579648,Maybell,Maybell,CO,081,40.51775,-108.08703,72,PPL,America/Denver
5470076,Grenville,Grenville,NM,059,36.5928,-103.61634,35,PPL,America/Denver
4963837,Estcourt Station,Estcourt Station,ME,003,47.45891,-69.22425,4,PPL,America/New_York
5785214,Yost,Yost,UT,003,41.96075,-113.54223,0,PPL,America/Denver
5687484,Ynot (historical),Ynot (historical),MT,071,48.83668,-107.6762,0,PPLQ,America/Denver
5534141,Woodsons,Woodsons,TX,043,29.00632,-103.2949,0,PPL,America/Chicago
5145043,Woods,Woods,NY,041,43.88312,-74.60433,0,PPL,America/New_York
4882409,Woodland,Woodland,IA,053,40.69612,-93.598,0,PPL,America/Chicago
5816343,Winton,Winton,WA,007,47.7354,-120.7412,0,PPL,America/Los_Angeles
5549481,Wheatgrass,Wheatgrass,UT,021,37.97192,-112.79356,0,PPL,America/Denver
5842005,Vista West Trailer Park,Vista West Trailer Park,WY,011,44.41971,-104.40523,0,PPL,America/Denver
5709763,Varyville (historical),Varyville (historical),NV,013,41.49295,-118.8074,0,PPLQ,America/Los_Angeles
4738007,Turlington,Turlington,TX,161,31.69489,-96.05441,0,PPL,America/Chicago
5513947,Troy (historical),Troy (historical),NV,023,38.343,-115.57447,0,PPLQ,America/Los_Angeles
5548747,Trout Creek,Trout Creek,UT,023,39.68939,-113.8286,0,PPL,America/Denver
5756999,Toketee Falls,Toketee Falls,OR,019,43.27568,-122.45088,0,PPL,America/Los_Angeles
5682632,Tindall (historical),Tindall (historical),MT,033,47.15833,-107.61677,0,PPLQ,America/Denver
4411002,Swift,Swift,MO,155,36.32923,-89.75425,0,PPL,America/Chicago
5680924,Sullivan (historical),Sullivan (historical),MT,035,48.98749,-113.04954,0,PPLQ,America/Denver
5608290,South Mountain,South Mountain,ID,073,42.7521,-116.92347,0,PPL,America/Boise
5678860,Sourdough,Sourdough,MT,097,45.90189,-109.81435,0,PPL,America/Denver
4978607,Silver Ridge,Silver Ridge,ME,003,45.80644,-68.32475,0,PPL,America/New_York
5708498,Shores,Shores,NV,007,41.54019,-114.79948,0,PPL,America/Los_Angeles
5570868,Sawyers Bar,Sawyers Bar,CA,093,41.29736,-123.13032,0,PPL,America/Los_Angeles
5808968,Ruby (historical),Ruby (historical),WA,073,48.73735,-121.06234,0,PPLQ,America/Los_Angeles
5312027,Rose Well Camp,Rose Well Camp,AZ,005,35.74193,-112.87269,0,PPL,America/Phoenix
5007426,Rock Harbor Lodge,Rock Harbor Lodge,MI,083,48.14571,-88.48368,0,PPL,America/Detroit
5836352,Redbird,Redbird,WY,027,43.24247,-104.28605,0,PPL,America/Denver
5486687,Ramsdale Place,Ramsdale Place,NM,027,33.8023,-105.72332,0,PPL,America/Denver
5207209,Pritchards Corner,Pritchards Corner,PA,085,41.2795,-80.4834,0,PPL,America/New_York
5670625,Paris (historical),Paris (historical),MT,055,47.29111,-106.15892,0,PPLQ,America/Denver
5379348,Omega,Omega,CA,057,39.33323,-120.74938,0,PPL,America/Los_Angeles
4971414,Matinicus,Matinicus,ME,013,43.86508,-68.88698,0,PPL,America/New_York
4332118,Luke Landing,Luke Landing,LA,101,29.59743,-91.54178,0,PPL,America/Chicago
5302516,Lochiel,Lochiel,AZ,023,31.33566,-110.62397,0,PPL,America/Phoenix
5696904,Lamont,Lamont,NE,057,40.32083,-101.87323,0,PPL,America/Denver
4969045,Lac Frontiere,Lac Frontiere,ME,003,46.69531,-69.99341,0,PPL,America/New_York
5765247,Grindstone,Grindstone,SD,055,44.13915,-101.96737,0,PPL,America/Denver
4155953,Fort Jefferson,Fort Jefferson,FL,087,24.62793,-82.8729,0,PPL,America/New_York
5648567,Diamond City,Diamond City,MT,007,46.59716,-111.42385,0,PPL,America/Denver
5703141,Deep Hole,Deep Hole,NV,031,40.71907,-119.48325,0,PPL,America/Los_Angeles
5590380,Custer,Custer,ID,037,44.38741,-114.69591,0,PPL,America/Boise
5463116,Corner Ranch,Corner Ranch,NM,023,31.35622,-108.21114,0,PPL,America/Denver
5688491,Clifton,Clifton,ND,069,47.89111,-100.0343,0,PPL,America/Chicago
12523046,Chuckwalla Valley,Chuckwalla Valley,CA,065,33.72355,-115.22026,0,PPL,America/Los_Angeles
5772852,Christmas Meadow Summer Home Area,Christmas Meadow Summer Home Area,UT,043,40.82689,-110.80767,0,PPL,America/Denver
5500129,Birch (historical),Birch (historical),NV,011,39.92215,-115.87311,0,PPLQ,America/Los_Angeles
4669815,Adamsville,Adamsville,TX,281,31.30128,-98.16892,0,PPL,America/Chicago
5322291,Acebedo,Acebedo,CA,031,35.83191,-120.20181,0,PPL,America/Los_Angeles
