frame_index,time_sec,track_id,x,y,width,height,confidence
477,19.894875,2,548.11,314.93,192.73,256.64,0.86111
480,20.02,1,1026.13,186.95,134.75,202.64,0.83603
480,20.02,2,553.9,316.79,187.67,249.51,0.87306
483,20.145125,1,1015.24,179.37,132.41,193.55,0.85061
483,20.145125,2,556.28,308.54,176.68,253.34,0.88026
486,20.27025,1,1028.37,196.6,129.12,180.35,0.88361
486,20.27025,2,580.7,299.92,154.96,216.01,0.88469
489,20.395375,1,1035.85,175.05,137.94,185.82,0.84594
489,20.395375,2,576.95,273.22,146.98,238.69,0.90116
492,20.5205,1,1050.16,180.63,128.28,165.19,0.8706
492,20.5205,2,565.59,278.2,145.43,232.47,0.90427
495,20.645625,1,1065.89,169.53,146.04,187.15,0.85322
495,20.645625,2,563.96,277.53,146.94,229.6,0.90025
498,20.77075,1,1075.9,166.52,135.71,184.41,0.85675
498,20.77075,2,564.49,256.09,149.07,244.2,0.8939
501,20.895875,1,1083.85,170.7,128.65,176.15,0.86596
501,20.895875,2,536.23,206.67,149.19,259.85,0.87771
504,21.021,1,1083.33,137.64,132.15,188.7,0.86847
504,21.021,2,521.58,192.84,143.52,251.59,0.8822
507,21.146125,1,1065.44,60.75,140.9,238.9,0.8648
507,21.146125,2,516.05,187.01,144.41,254.06,0.89065
510,21.27125,1,1063.73,38.64,161.89,253.9,0.86355
510,21.27125,2,512.48,190.29,142.27,247.73,0.89725
513,21.396375,1,1021.77,64.82,173.45,262.38,0.83466
513,21.396375,2,503.93,199.32,156.28,271.7,0.86352
