z_mm,normalized_temperature_rise
2.640000000000000568e+00,2.338274600841910855e-02
2.649999999999999911e+00,2.372664800153092418e-02
2.660000000000000142e+00,2.407490339091857695e-02
2.669999999999999929e+00,2.442755562428818722e-02
2.680000000000000160e+00,2.478464840131296837e-02
2.689999999999999947e+00,2.514622567227073682e-02
2.700000000000000178e+00,2.551233163662611908e-02
2.709999999999999964e+00,2.588301074155730311e-02
2.720000000000000195e+00,2.625830768042645286e-02
2.730000000000000426e+00,2.663826739119394896e-02
2.740000000000000213e+00,2.702293505477482496e-02
2.750000000000000444e+00,2.741235609333767670e-02
2.760000000000000231e+00,2.780657616854561101e-02
2.770000000000000462e+00,2.820564117973822782e-02
2.780000000000000249e+00,2.860959726205435094e-02
2.790000000000000480e+00,2.901849078449500116e-02
2.800000000000000266e+00,2.943236834792622644e-02
2.810000000000000497e+00,2.985127678302123763e-02
2.819999999999999840e+00,3.027526314814112801e-02
2.830000000000000071e+00,3.070437472715411079e-02
2.839999999999999858e+00,3.113865902719237591e-02
2.850000000000000089e+00,3.157816377634651422e-02
2.860000000000000320e+00,3.202293692129681846e-02
2.870000000000000107e+00,3.247302662488091990e-02
2.880000000000000338e+00,3.292848126359743804e-02
2.890000000000000124e+00,3.338934942504521997e-02
2.900000000000000355e+00,3.385567990529787796e-02
2.910000000000000142e+00,3.432752170621287957e-02
2.920000000000000373e+00,3.480492403267457929e-02
2.930000000000000160e+00,3.528793628977178187e-02
2.940000000000000391e+00,3.577660807990837299e-02
2.950000000000000178e+00,3.627098919984702435e-02
2.960000000000000409e+00,3.677112963768556370e-02
2.970000000000000639e+00,3.727707956976579473e-02
2.980000000000000426e+00,3.778888935751423261e-02
2.990000000000000213e+00,3.830660954421411662e-02
3.000000000000000000e+00,3.883029085170909556e-02
3.010000000000000231e+00,3.935998417703727437e-02
3.020000000000000018e+00,3.989574058899610087e-02
3.030000000000000249e+00,4.043761132463763452e-02
3.040000000000000036e+00,4.098564778569328826e-02
3.050000000000000266e+00,4.153990153492812670e-02
3.060000000000000053e+00,4.210042429242499135e-02
3.070000000000000284e+00,4.266726793179718286e-02
3.080000000000000071e+00,4.324048447632997116e-02
3.090000000000000302e+00,4.382012609505052392e-02
3.100000000000000533e+00,4.440624509872605208e-02
3.110000000000000320e+00,4.499889393579020735e-02
3.120000000000000551e+00,4.559812518819675309e-02
3.130000000000000338e+00,4.620399156720093881e-02
3.140000000000000568e+00,4.681654590906833557e-02
3.150000000000000355e+00,4.743584117071070888e-02
3.160000000000000142e+00,4.806193042524860987e-02
3.169999999999999929e+00,4.869486685750103877e-02
3.180000000000000160e+00,4.933470375940145203e-02
3.189999999999999947e+00,4.998149452534025178e-02
3.200000000000000178e+00,5.063529264743391739e-02
3.209999999999999964e+00,5.129615171072015450e-02
3.220000000000000195e+00,5.196412538827845790e-02
3.230000000000000426e+00,5.263926743627798943e-02
3.240000000000000213e+00,5.332163168895035638e-02
3.250000000000000444e+00,5.401127205348874027e-02
3.260000000000000231e+00,5.470824250487234947e-02
3.270000000000000462e+00,5.541259708061719441e-02
3.280000000000000249e+00,5.612438987545238789e-02
3.290000000000000480e+00,5.684367503592204635e-02
3.300000000000000266e+00,5.757050675491303532e-02
3.310000000000000497e+00,5.830493926610830213e-02
3.320000000000000284e+00,5.904702683836672572e-02
3.330000000000000071e+00,5.979682377002776966e-02
3.340000000000000302e+00,6.055438438314276334e-02
3.350000000000000089e+00,6.131976301763179815e-02
3.360000000000000320e+00,6.209301402536713393e-02
3.370000000000000107e+00,6.287419176418251876e-02
3.380000000000000338e+00,6.366335059180898426e-02
3.390000000000000124e+00,6.446054485973683190e-02
3.400000000000000355e+00,6.526582890700477479e-02
3.410000000000000142e+00,6.607925705391555493e-02
3.420000000000000373e+00,6.690088359567884779e-02
3.430000000000000160e+00,6.773076279598097549e-02
3.440000000000000391e+00,6.856894888048255254e-02
3.450000000000000178e+00,6.941549603024387005e-02
3.460000000000000409e+00,7.027045837507790715e-02
3.470000000000000639e+00,7.113388998683181641e-02
3.480000000000000426e+00,7.200584487259689692e-02
3.490000000000000657e+00,7.288637696784792952e-02
3.500000000000000000e+00,7.377554012951095808e-02
3.510000000000000231e+00,7.467338812896161249e-02
3.520000000000000018e+00,7.557997464495205819e-02
3.530000000000000249e+00,7.649535325646975026e-02
3.540000000000000036e+00,7.741957743552622950e-02
3.550000000000000266e+00,7.835270053987708483e-02
3.560000000000000053e+00,7.929477580567355355e-02
