wavelength_nm,power_17_mW_dbm,power_73_mW_dbm,power_131_mW_dbm,power_188_mW_dbm,power_244_mW_dbm,power_296_mW_dbm,power_344_mW_dbm,power_367_mW_dbm
1549.2007,nan,-41.654135,-39.481203,-39.969925,-41.338346,-40.293233,-40.744361,-40.631579
1549.2093,nan,-41.729323,-39.263158,-40.007519,-41.330827,-40.338346,-40.75188,-40.631579
1549.218,nan,-41.759398,-39.233083,-40.022556,-41.308271,-40.338346,-40.75188,-40.616541
1549.2266,nan,-41.849624,-39.120301,-40.105263,-41.233083,-40.323308,-40.496241,-40.616541
1549.2353,nan,-42.007519,-38.887218,-40.210526,-41.255639,nan,-40.466165,-40.601504
1549.2439,nan,-42.142857,-38.631579,-41.654135,-41.263158,-40.81203,-40.406015,-40.578947
1549.2526,nan,-42.255639,-38.473684,-41.684211,nan,-40.887218,-40.360902,-40.548872
1549.2612,nan,-42.315789,-38.360902,-41.684211,nan,-40.917293,-40.353383,-40.526316
1549.2699,nan,-42.383459,-38.293233,-41.721805,-40.225564,-40.992481,-40.338346,-40.503759
1549.2785,nan,-42.488722,-38.165414,-41.75188,-40.218045,-41.030075,-40.338346,-40.503759
1549.2872,nan,-42.571429,-38.18797,-41.781955,-40.203008,-41.090226,-40.345865,-40.488722
1549.2958,nan,-42.684211,-38.135338,-41.766917,-40.203008,-41.225564,-40.353383,-40.503759
1549.3045,nan,-42.781955,-38.135338,-41.759398,-40.210526,-41.278195,-40.360902,-40.601504
1549.3131,nan,-42.864662,-38.165414,-41.744361,-40.218045,-41.315789,nan,-40.62406
1549.3218,nan,-42.909774,-38.263158,-41.714286,-40.240602,-41.353383,-41.075188,-40.691729
1549.3304,nan,-42.969925,-38.330827,-41.684211,-40.270677,-41.390977,-41.12782,-40.75188
1549.3391,nan,-43.052632,-38.488722,-41.541353,-40.353383,nan,-41.263158,-40.834586
1549.3478,nan,-43.120301,-38.676692,-41.466165,-40.37594,nan,-41.323308,-40.879699
1549.3564,nan,-43.172932,-38.947368,-40.12782,-40.413534,nan,-41.383459,-41.06015
1549.3651,nan,-43.210526,-39.142857,-40.015038,-40.43609,-40.654135,-41.406015,-41.120301
1549.3737,nan,-43.263158,-39.218045,-40.030075,-41.503759,-40.661654,-41.413534,-41.18797
1549.3824,nan,-43.293233,-39.240602,-40.045113,-41.556391,-40.699248,-41.413534,-41.210526
1549.391,nan,-43.330827,-39.443609,-39.969925,-41.56391,-40.669173,-41.406015,-41.218045
1549.3997,nan,-43.353383,-40.218045,-39.827068,-41.586466,-40.62406,nan,-41.218045
1549.4083,nan,-43.383459,-40.781955,-39.721805,-41.578947,-40.571429,nan,-41.18797
