z_mm,exact_fin_beer_lambert_rise_K,local_beer_lambert_rise_K,effective_hotspot_rise_K
4.9624687,12.867243,11.21079,154.19386
4.970809,12.787356,11.141187,153.20383
4.9791493,12.707965,11.072017,152.21717
4.9874896,12.629066,11.003275,151.23389
4.9958299,12.550658,10.934961,150.25401
5.0041701,12.472736,10.86707,149.27755
5.0125104,12.395298,10.799601,148.30452
5.0208507,12.318341,10.732551,147.33494
5.029191,12.241862,10.665917,146.36882
5.0375313,12.165857,10.599697,145.40617
5.0458716,12.090325,10.533888,144.44702
5.0542118,12.015261,10.468488,143.49137
5.0625521,11.940663,10.403493,142.53924
5.0708924,11.866529,10.338902,141.59064
5.0792327,11.792855,10.274713,140.64559
5.087573,11.719638,10.210921,139.7041
5.0959133,11.646876,10.147526,138.76618
5.1042535,11.574565,10.084524,137.83184
5.1125938,11.502704,10.021914,136.90109
5.1209341,11.431288,9.959692,135.97396
5.1292744,11.360316,9.8978566,135.05044
5.1376147,11.289785,9.836405,134.13055
5.145955,11.219691,9.775335,133.21431
5.1542952,11.150033,9.7146441,132.30171
5.1626355,11.080807,9.65433,131.39278
5.1709758,11.012011,9.5943904,130.48752
5.1793161,10.943643,9.5348229,129.58595
5.1876564,10.875698,9.4756253,128.68806
5.1959967,10.808176,9.4167952,127.79388
5.2043369,10.741072,9.3583303,126.9034
5.2126772,10.674385,9.3002284,126.01665
5.2210175,10.608113,9.2424873,125.13362
5.2293578,10.542252,9.1851046,124.25432
5.2376981,10.476799,9.1280783,123.37878
5.2460384,10.411753,9.0714059,122.50698
5.2543786,10.347111,9.0150854,121.63894
5.2627189,10.28287,8.9591146,120.77466
5.2710592,10.219028,8.9034913,119.91416
5.2793995,10.155583,8.8482133,119.05744
5.2877398,10.092531,8.7932786,118.20451
5.2960801,10.029871,8.7386848,117.35536
5.3044204,9.9675997,8.6844301,116.51001
5.3127606,9.9057152,8.6305122,115.66847
5.3211009,9.8442148,8.576929,114.83073
5.3294412,9.7830963,8.5236785,113.99681
5.3377815,9.7223572,8.4707586,113.16671
5.3461218,9.6619952,8.4181673,112.34043
5.3544621,9.602008,8.3659025,111.51797
5.3628023,9.5423933,8.3139622,110.69935
5.3711426,9.4831486,8.2623444,109.88456
5.3794829,9.4242718,8.211047,109.07361
5.3878232,9.3657605,8.1600681,108.26651
5.3961635,9.3076125,8.1094057,107.46325
5.4045038,9.2498255,8.0590579,106.66383
5.412844,9.1923973,8.0090226,105.86827
5.4211843,9.1353257,7.959298,105.07656
5.4295246,9.0786083,7.9098822,104.2887
5.4378649,9.0222431,7.8607731,103.5047
5.4462052,8.9662279,7.8119689,102.72456
5.4545455,8.9105604,7.7634677,101.94828
5.4628857,8.8552385,7.7152677,101.17586
5.471226,8.8002601,7.6673669,100.4073
5.4795663,8.7456231,7.6197635,99.642608
5.4879066,8.6913252,7.5724556,98.881777
5.4962469,8.6373645,7.5254415,98.124809
5.5045872,8.5837388,7.4787192,97.371704
5.5129274,8.530446,7.432287,96.622463
5.5212677,8.4774841,7.3861431,95.877084
5.529608,8.4248511,7.3402857,95.135569
5.5379483,8.3725448,7.294713,94.397914
5.5462886,8.3205632,7.2494233,93.664121
5.5546289,8.2689044,7.2044147,92.934186
5.5629691,8.2175663,7.1596856,92.208109
5.5713094,8.1665469,7.1152341,91.485888
5.5796497,8.1158443,7.0710587,90.767522
5.58799,8.0654565,7.0271575,90.053007
5.5963303,8.0153815,6.9835289,89.342343
5.6046706,7.9656175,6.9401711,88.635525
5.6130108,7.9161624,6.8970826,87.932552
5.6213511,7.8670143,6.8542615,87.233421
5.6296914,7.8181714,6.8117064,86.538129
5.6380317,7.7696317,6.7694154,85.846671
5.646372,7.7213933,6.727387,85.159045
5.6547123,7.6734545,6.6856195,84.475248
5.6630525,7.6258133,6.6441114,83.795274
5.6713928,7.5784679,6.6028609,83.119121
5.6797331,7.5314164,6.5618666,82.446783
5.6880734,7.4846571,6.5211267,81.778257
5.6964137,7.438188,6.4806398,81.113537
5.704754,7.3920075,6.4404043,80.45262
5.7130942,7.3461137,6.4004186,79.795499
5.7214345,7.3005048,6.3606811,79.14217
5.7297748,7.2551791,6.3211904,78.492627
5.7381151,7.2101348,6.2819448,77.846866
5.7464554,7.1653701,6.2429429,77.204879
5.7547957,7.1208834,6.2041831,76.566662
5.7631359,7.0766729,6.165664,75.932208
5.7714762,7.0327368,6.127384,75.301511
5.7798165,6.9890736,6.0893417,74.674564
5.7881568,6.9456814,6.0515356,74.051362
5.7964971,6.9025586,6.0139642,73.431897
5.8048374,6.8597036,5.9766261,72.816162
5.8131776,6.8171146,5.9395198,72.204151
5.8215179,6.7747901,5.9026438,71.595856
5.8298582,6.7327283,5.8659968,70.99127
5.8381985,6.6909277,5.8295774,70.390386
5.8465388,6.6493866,5.793384,69.793195
5.8548791,6.6081034,5.7574154,69.19969
5.8632193,6.5670765,5.72167,68.609864
5.8715596,6.5263043,5.6861466,68.023707
5.8798999,6.4857853,5.6508438,67.441212
5.8882402,6.4455178,5.6157601,66.862371
5.8965805,6.4055003,5.5808942,66.287174
5.9049208,6.3657313,5.5462448,65.715613
5.9132611,6.3262092,5.5118106,65.14768
5.9216013,6.2869325,5.4775901,64.583365
5.9299416,6.2478996,5.4435821,64.02266
5.9382819,6.2091091,5.4097852,63.465555
5.9466222,6.1705594,5.3761982,62.91204
5.9549625,6.132249,5.3428196,62.362107
5.9633028,6.0941765,5.3096484,61.815746
5.971643,6.0563403,5.276683,61.272947
5.9799833,6.0187391,5.2439223,60.7337
5.9883236,5.9813713,5.2113651,60.197995
5.9966639,5.9442355,5.1790099,59.665823
6.0050042,5.9073303,5.1468557,59.137172
6.0133445,5.8706542,5.114901,58.612033
