wavelength_nm,power_0_mW_dbm,power_17_mW_dbm,power_73_mW_dbm,power_131_mW_dbm,power_188_mW_dbm,power_244_mW_dbm,power_296_mW_dbm,power_344_mW_dbm,power_367_mW_dbm
1546.4125,-43.990256,-43.940803,-43.96808,-43.992293,-43.98551,-43.988591,-43.986453,-43.984732,-43.985115
1546.4156,-43.987859,-43.940404,-43.968713,-43.990477,-43.984517,-43.990155,-43.987865,-43.985554,-43.986043
1546.4188,-43.983286,-43.941523,-43.970075,-43.988611,-43.983903,-43.991473,-43.989181,-43.986522,-43.987065
1546.4219,-43.976764,-43.944086,-43.972069,-43.98683,-43.983688,-43.992482,-43.990319,-43.987549,-43.988093
1546.425,-43.968634,-43.947937,-43.974558,-43.985256,-43.983864,-43.993144,-43.991213,-43.988545,-43.989044
1546.4281,-43.959336,-43.952845,-43.977381,-43.98399,-43.984394,-43.993448,-43.991816,-43.98943,-43.989842
1546.4313,-43.949375,-43.958519,-43.980357,-43.983107,-43.985214,-43.993409,-43.992108,-43.990131,-43.990427
1546.4344,-43.939302,-43.964625,-43.983304,-43.982652,-43.986244,-43.993065,-43.992094,-43.990596,-43.990758
1546.4375,-43.929673,-43.970804,-43.986043,-43.982635,-43.987386,-43.99248,-43.9918,-43.990791,-43.990818
1546.4406,-43.921023,-43.976691,-43.988413,-43.983036,-43.988539,-43.991729,-43.991279,-43.990708,-43.990611
1546.4437,-43.913834,-43.981943,-43.990282,-43.983802,-43.989599,-43.990902,-43.990596,-43.990362,-43.990168
1546.4469,-43.908509,-43.986255,-43.991554,-43.984853,-43.990473,-43.990088,-43.989834,-43.989789,-43.989537
1546.45,-43.905351,-43.98938,-43.992174,-43.986088,-43.991081,-43.989375,-43.989079,-43.98905,-43.988785
1546.4531,-43.904544,-43.991147,-43.992133,-43.987393,-43.991365,-43.988841,-43.988417,-43.988217,-43.987994
1546.4562,-43.906144,-43.991469,-43.991468,-43.988645,-43.991294,-43.988545,-43.987927,-43.987377,-43.987248
1546.4594,-43.910072,-43.990347,-43.990256,-43.989727,-43.990861,-43.988527,-43.987674,-43.986616,-43.986632
1546.4625,-43.916121,-43.987876,-43.988614,-43.990534,-43.990093,-43.988799,-43.987701,-43.986022,-43.986225
1546.4656,-43.923959,-43.984233,-43.986684,-43.990978,-43.989041,-43.989346,-43.988032,-43.985668,-43.986089
1546.4688,-43.933149,-43.979668,-43.984629,-43.990998,-43.987782,-43.990128,-43.988659,-43.985616,-43.986269
1546.4719,-43.943169,-43.974489,-43.982618,-43.990566,-43.986412,-43.991077,-43.989549,-43.985901,-43.986783
1546.475,-43.953438,-43.969037,-43.980814,-43.989686,-43.98504,-43.992103,-43.99064,-43.986534,-43.987622
1546.4781,-43.96335,-43.963672,-43.979367,-43.988397,-43.983778,-43.993102,-43.991849,-43.987497,-43.98875
1546.4813,-43.972308,-43.958745,-43.978397,-43.986772,-43.982738,-43.993959,-43.99307,-43.988742,-43.990099
1546.4844,-43.979757,-43.954578,-43.977988,-43.984912,-43.982017,-43.994557,-43.994185,-43.990192,-43.991576
1546.4875,-43.985222,-43.951443,-43.978184,-43.982939,-43.981693,-43.994787,-43.995071,-43.991745,-43.993069
1546.4906,-43.988335,-43.949548,-43.97898,-43.980991,-43.98182,-43.994556,-43.995607,-43.99328,-43.994448
1546.4938,-43.988861,-43.949018,-43.980326,-43.979211,-43.982418,-43.993792,-43.995682,-43.99466,-43.995575
1546.4969,-43.986716,-43.949893,-43.982123,-43.977735,-43.983472,-43.992453,-43.995207,-43.995747,-43.996316
1546.5,-43.981972,-43.952121,-43.984235,-43.976686,-43.984933,-43.990532,-43.994119,-43.996402,-43.996545
1546.5031,-43.974856,-43.95556,-43.98649,-43.976163,-43.986713,-43.988061,-43.992389,-43.996504,-43.996157
1546.5062,-43.965737,-43.959985,-43.988697,-43.976232,-43.988695,-43.985108,-43.990027,-43.995953,-43.995075
1546.5094,-43.955102,-43.965099,-43.990651,-43.976919,-43.990733,-43.981777,-43.98708,-43.994677,-43.993255
1546.5125,-43.943531,-43.970553,-43.992153,-43.97821,-43.992666,-43.978204,-43.983638,-43.992647,-43.990696
1546.5156,-43.931659,-43.975963,-43.993022,-43.980045,-43.99432,-43.97455,-43.979826,-43.989872,-43.987439
1546.5187,-43.920143,-43.980934,-43.993103,-43.982321,-43.995524,-43.970991,-43.975799,-43.986408,-43.98357
1546.5219,-43.90962,-43.985088,-43.992289,-43.984894,-43.99612,-43.967711,-43.971737,-43.982352,-43.979216
1546.525,-43.900677,-43.988084,-43.990522,-43.987589,-43.995973,-43.964889,-43.967833,-43.977847,-43.97454
1546.5281,-43.893813,-43.989645,-43.987802,-43.990206,-43.994983,-43.962687,-43.964284,-43.973065,-43.969735
1546.5312,-43.889416,-43.989578,-43.984192,-43.992531,-43.993091,-43.961243,-43.961277,-43.968209,-43.965011
1546.5344,-43.887741,-43.987786,-43.979814,-43.994352,-43.990288,-43.960656,-43.95898,-43.963498,-43.960589
1546.5375,-43.888893,-43.98428,-43.974848,-43.995469,-43.986616,-43.960984,-43.957531,-43.959154,-43.956686
1546.5406,-43.892824,-43.979183,-43.969517,-43.995709,-43.982173,-43.962232,-43.957027,-43.955392,-43.9535
1546.5438,-43.899328,-43.972719,-43.964082,-43.994936,-43.977105,-43.964354,-43.957515,-43.952407,-43.951203
1546.5469,-43.908053,-43.965205,-43.958821,-43.993068,-43.971603,-43.967249,-43.958991,-43.950363,-43.949926
1546.55,-43.918516,-43.957036,-43.954017,-43.990077,-43.965894,-43.970762,-43.961393,-43.949379,-43.949754
1546.5531,-43.930124,-43.948654,-43.949942,-43.986002,-43.960227,-43.974694,-43.9646,-43.949525,-43.950714
1546.5563,-43.942207,-43.94053,-43.946835,-43.980943,-43.954864,-43.978806,-43.96844,-43.950809,-43.952771
1546.5594,-43.954052,-43.933131,-43.944892,-43.975063,-43.950064,-43.982833,-43.972693,-43.953182,-43.955831
1546.5625,-43.964942,-43.926892,-43.944247,-43.968581,-43.946068,-43.986496,-43.977099,-43.956526,-43.959736
1546.5656,-43.974202,-43.922194,-43.944969,-43.961759,-43.943083,-43.989515,-43.981373,-43.960669,-43.964274
1546.5687,-43.981238,-43.919333,-43.947045,-43.954893,-43.941273,-43.991632,-43.985218,-43.965379,-43.969185
1546.5719,-43.985574,-43.918508,-43.950385,-43.948294,-43.940748,-43.992619,-43.988343,-43.970382,-43.974172
1546.575,-43.986889,-43.919802,-43.954817,-43.942274,-43.941551,-43.992296,-43.990476,-43.975371,-43.978917
1546.5781,-43.985035,-43.923173,-43.960095,-43.937127,-43.943655,-43.990546,-43.991382,-43.980021,-43.983094
1546.5812,-43.980053,-43.928453,-43.965907,-43.933115,-43.946963,-43.987321,-43.990882,-43.984004,-43.98639
1546.5844,-43.97217,-43.935353,-43.971893,-43.930449,-43.951305,-43.982653,-43.988861,-43.987012,-43.988521
1546.5875,-43.961787,-43.94347,-43.977656,-43.929279,-43.956449,-43.976649,-43.985279,-43.98877,-43.98925
1546.5906,-43.949457,-43.952311,-43.982789,-43.92968,-43.962102,-43.969495,-43.980178,-43.989056,-43.988403
1546.5938,-43.935849,-43.961311,-43.986895,-43.931647,-43.96793,-43.961444,-43.973685,-43.987716,-43.985882
1546.5969,-43.921709,-43.969867,-43.989613,-43.935093,-43.97357,-43.952807,-43.966,-43.984674,-43.98167
1546.6,-43.907819,-43.97737,-43.990637,-43.939844,-43.978649,-43.943936,-43.9574,-43.979942,-43.975844
1546.6031,-43.894947,-43.983243,-43.989743,-43.945651,-43.982805,-43.935209,-43.948214,-43.97362,-43.968562
1546.6063,-43.883807,-43.986977,-43.986801,-43.952191,-43.985707,-43.92701,-43.938818,-43.965897,-43.96007
1546.6094,-43.875022,-43.988163,-43.981788,-43.95909,-43.987074,-43.919708,-43.929607,-43.957041,-43.950682
1546.6125,-43.869086,-43.986528,-43.974797,-43.965931,-43.986695,-43.91364,-43.920982,-43.947386,-43.940767
1546.6156,-43.86634,-43.981951,-43.966032,-43.97228,-43.984444,-43.909092,-43.913328,-43.93732,-43.930736
1546.6188,-43.866952,-43.974479,-43.955803,-43.977709,-43.980288,-43.906282,-43.906993,-43.927263,-43.921015
1546.6219,-43.870907,-43.964332,-43.944508,-43.981817,-43.974297,-43.90535,-43.902269,-43.917647,-43.912029
1546.625,-43.878004,-43.951887,-43.932617,-43.984255,-43.966638,-43.906347,-43.899379,-43.908894,-43.904176
1546.6281,-43.887864,-43.937667,-43.920649,-43.98475,-43.957573,-43.909228,-43.898463,-43.901394,-43.897811
